county,school_or_school_district,type,student_cases_new,student_cases_cumulative,staff_cases_new,staff_cases_cumulative
Hamilton,Indian Hill Exempted Village,Public District,5,22,3,20
Hamilton,John Paul II Catholic School,Private School,1,8,0,5
Hamilton,John Paul II Catholic School,Preschool,No Cases Reported,No Cases Reported,No Cases Reported,No Cases Reported
Hamilton,KinderCare Learning Center,Private School,0,1,0,4
Hamilton,Lasalle,Private School,5,64,1,24
Hamilton,Linden Grove School,Private School,0,0,0,2
Hamilton,Lockland Local,Public District,0,6,0,9
Hamilton,Loveland City,Public District,7,120,3,35
Hamilton,Madeira City,Public District,8,43,3,16
Hamilton,Malachi's Children Christian School,Private School,No Cases Reported,No Cases Reported,No Cases Reported,No Cases Reported
Hamilton,Mariemont City,Public District,0,58,0,20
Hamilton,Miami Valley Christian Academy,Private School,0,34,0,6
Hamilton,Miami Valley Christian Academy,Preschool,0,2,1,3
Hamilton,Missions Helping Hands Academy,Private School,No Cases Reported,No Cases Reported,No Cases Reported,No Cases Reported
Hamilton,Moeller,Private School,6,40,1,10
Hamilton,Mount Notre Dame,Private School,3,45,0,17
Hamilton,Mt Healthy City,Public District,0,7,1,22
Hamilton,Mt. Healthy Preparatory and Fitness Academy,Community School,No Cases Reported,No Cases Reported,No Cases Reported,No Cases Reported
Hamilton,Mt. Hope Christian Academy,Private School,No Cases Reported,No Cases Reported,No Cases Reported,No Cases Reported
Hamilton,New Covenant Hebrew Academy,Private School,No Cases Reported,No Cases Reported,No Cases Reported,No Cases Reported
Hamilton,North College Hill City,Public District,No Cases Reported,No Cases Reported,No Cases Reported,No Cases Reported
Hamilton,Northwest Local ,Public District,9,186,10,155
Hamilton,Oak Hills Local ,Public District,19,304,7,154
Hamilton,Our Lady of Grace Catholic School,Private School,No Cases Reported,No Cases Reported,No Cases Reported,No Cases Reported
Hamilton,Our Lady Of Victory,Private School,0,1,0,1
Hamilton,Our Lady Of Victory,Preschool,No Cases Reported,No Cases Reported,No Cases Reported,No Cases Reported
Hamilton,Our Lady Of Visitation,Private School,0,9,0,4
Hamilton,Princeton City,Public District,11,71,4,95
Hamilton,Rabbinical Yeshiva of Cincinnati,Private School,No Cases Reported,No Cases Reported,No Cases Reported,No Cases Reported
Hamilton,Reading Community City,Public District,0,29,0,18
Hamilton,Redwine Academy,Private School,No Cases Reported,No Cases Reported,No Cases Reported,No Cases Reported
Hamilton,Rockwern Academy,Private School,0,2,0,4
Hamilton,Rockwern Academy,Preschool,0,1,0,3
Hamilton,Roger Bacon,Private School,No Cases Reported,No Cases Reported,No Cases Reported,No Cases Reported
Hamilton,Schilling School For Gifted,Private School,No Cases Reported,No Cases Reported,No Cases Reported,No Cases Reported
Hamilton,Skyward Academy,Private School,No Cases Reported,No Cases Reported,No Cases Reported,No Cases Reported
Hamilton,Skyward Academy New Hope,Private School,No Cases Reported,No Cases Reported,No Cases Reported,No Cases Reported
Hamilton,Southwest Local,Public District,22,142,9,69
Hamilton,Springs East School,Private School,No Cases Reported,No Cases Reported,No Cases Reported,No Cases Reported
Hamilton,Springs East School-Building 1,Preschool,No Cases Reported,No Cases Reported,No Cases Reported,No Cases Reported
Hamilton,Springs East School-Building 1,Before and After School Programs,No Cases Reported,No Cases Reported,No Cases Reported,No Cases Reported
Hamilton,St Aloysius Gonzaga,Private School,0,1,0,0
Hamilton,St Aloysius Gonzaga,Preschool,No Cases Reported,No Cases Reported,No Cases Reported,No Cases Reported
Hamilton,St Antoninus,Private School,No Cases Reported,No Cases Reported,No Cases Reported,No Cases Reported
Hamilton,St Bernard School,Private School,0,4,0,6
Hamilton,St Bernard-Elmwood Place City,Public District,No Cases Reported,No Cases Reported,No Cases Reported,No Cases Reported
Hamilton,St Clement,Private School,No Cases Reported,No Cases Reported,No Cases Reported,No Cases Reported
Hamilton,St Clement,Preschool,No Cases Reported,No Cases Reported,No Cases Reported,No Cases Reported
Hamilton,St Dominic,Private School,1,19,0,10
Hamilton,St Dominic,Preschool,0,1,0,1
Hamilton,St Gabriel,Private School,0,12,0,5
Hamilton,St Gertrude,Private School,0,5,0,1
Hamilton,St Ignatius Loyola,Private School,0,35,0,10
Hamilton,St Ignatius Loyola,Preschool,0,1,0,1
Hamilton,St James,Private School,3,32,0,11
Hamilton,St John The Baptist,Private School,0,12,0,4
Hamilton,St John The Baptist,Private School,0,9,0,4
Hamilton,St John The Baptist,Preschool,0,1,0,0
Hamilton,St John The Baptist,Preschool,No Cases Reported,No Cases Reported,No Cases Reported,No Cases Reported
Hamilton,St Joseph Villa Academy Sn,Private School,No Cases Reported,No Cases Reported,No Cases Reported,No Cases Reported
Hamilton,St Jude,Private School,0,17,0,15
Hamilton,St Martin Of Tours,Private School,No Cases Reported,No Cases Reported,No Cases Reported,No Cases Reported
Hamilton,St Michael,Private School,0,11,0,4
Hamilton,St Rita School for the Deaf,Private School,0,1,0,3
Hamilton,St Rita School for the Deaf,Preschool,No Cases Reported,No Cases Reported,No Cases Reported,No Cases Reported
Hamilton,St Vincent Ferrer,Private School,No Cases Reported,No Cases Reported,No Cases Reported,No Cases Reported
Hamilton,St Vincent Ferrer,Preschool,No Cases Reported,No Cases Reported,No Cases Reported,No Cases Reported
Hamilton,St Vivian,Private School,0,2,0,3
Hamilton,St Vivian,Preschool,No Cases Reported,No Cases Reported,No Cases Reported,No Cases Reported
Hamilton,St Xavier,Private School,14,88,2,20
Hamilton,Sts. Peter and Paul Academy,Private School,No Cases Reported,No Cases Reported,No Cases Reported,No Cases Reported
Hamilton,Summit Academy of Southwest Ohio,Private School,No Cases Reported,No Cases Reported,No Cases Reported,No Cases Reported
Hamilton,Sycamore Community City,Public District,22,198,10,135
Hamilton,Terry's Montessori School,Private School,No Cases Reported,No Cases Reported,No Cases Reported,No Cases Reported
Hamilton,The Good Shepherd Catholic Montessori,Private School,0,6,0,2
Hamilton,The Good Shepherd Catholic Montessori,Preschool,No Cases Reported,No Cases Reported,No Cases Reported,No Cases Reported
Hamilton,Thomas Academy,Private School,No Cases Reported,No Cases Reported,No Cases Reported,No Cases Reported
Hamilton,Three Rivers Local ,Public District,0,4,0,3
Hamilton,Ursuline Academy,Private School,0,15,0,3
Hamilton,Winton Woods City,Public District,2,44,1,63
Hamilton,Wyoming City,Public District,1,14,1,21
Hancock,Arcadia Local,Public District,0,8,1,1
Hancock,Arlington Local,Public District,No Cases Reported,17,No Cases Reported,12
Hancock,Brookside Christian School,Private School,No Cases Reported,No Cases Reported,No Cases Reported,No Cases Reported
Hancock,Cory-Rawson Local,Public District,No Cases Reported,5,No Cases Reported,3
Hancock,Deuteronomy 6 Christian School,Private School,No Cases Reported,No Cases Reported,No Cases Reported,No Cases Reported
Hancock,Findlay City,Public District,0,55,2,44
Hancock,Findlay Digital Academy,Community School,1,1,0,0
Hancock,Hancock County Board of DD,County Board of Developmental Disabilities,No Cases Reported,1,No Cases Reported,1
Hancock,Hancock County ESC,Educational Service Center,No Cases Reported,0,No Cases Reported,7
Hancock,Heritage Christian School,Private School,No Cases Reported,No Cases Reported,No Cases Reported,No Cases Reported
Hancock,Hunters Creek Academy,Private School,No Cases Reported,No Cases Reported,No Cases Reported,No Cases Reported
Hancock,Jackson Christian Academy,Private School,No Cases Reported,No Cases Reported,No Cases Reported,No Cases Reported
Hancock,Liberty-Benton Local,Public District,1,16,0,3
Hancock,McComb Local,Public District,No Cases Reported,10,No Cases Reported,8
Hancock,Riverdale Local,Public District,No Cases Reported,10,No Cases Reported,7
Hancock,Rolling Hills Christian School,Private School,No Cases Reported,No Cases Reported,No Cases Reported,No Cases Reported
Hancock,School of Wisdom and Knowledge,Private School,No Cases Reported,No Cases Reported,No Cases Reported,No Cases Reported
Hancock,Solid Oak Christian School,Private School,No Cases Reported,No Cases Reported,No Cases Reported,No Cases Reported
Hancock,St Michael the Archangel School,Private School,No Cases Reported,7,No Cases Reported,4
Hancock,St Michael the Archangel School,Preschool,No Cases Reported,1,No Cases Reported,0
Hancock,The Center for Autism and Dyslexia Findlay,Private School,No Cases Reported,No Cases Reported,No Cases Reported,No Cases Reported
Hancock,The Center for Autism and Dyslexia Findlay,Preschool,No Cases Reported,No Cases Reported,No Cases Reported,No Cases Reported
Hancock,Trinity Ev Lutheran,Private School,No Cases Reported,No Cases Reported,No Cases Reported,No Cases Reported
Hancock,Trinity Ev Lutheran,Preschool,No Cases Reported,No Cases Reported,No Cases Reported,No Cases Reported
Hancock,Van Buren Local,Public District,No Cases Reported,25,No Cases Reported,6
Hancock,Vanlue Local,Public District,0,4,1,1
Hancock,Yellow Picket Primary,Private School,No Cases Reported,No Cases Reported,No Cases Reported,No Cases Reported
Harrison,Harrison County Board of DD,County Board of Developmental Disabilities,0,2,0,0
Harrison,Harrison Hills City,Public District,1,18,1,14
Harrison,Lakeland Academy Community School,Community School,0,2,0,2
Henry,Aquila Academy,Private School,No Cases Reported,No Cases Reported,No Cases Reported,No Cases Reported
Henry,Four County Career Center,Joint Vocational School District,1,34,0,2
Henry,Henry County Board of DD,County Board of Developmental Disabilities,No Cases Reported,No Cases Reported,No Cases Reported,No Cases Reported
Henry,Holgate Local,Public District,1,16,2,10
Henry,Liberty Center Local,Public District,3,23,3,12
Henry,Napoleon Area City,Public District,1,46,2,23
Henry,Patrick Henry Local,Public District,1,16,3,15
Henry,Redeemer Christian Academy,Private School,No Cases Reported,No Cases Reported,No Cases Reported,No Cases Reported
Henry,St Augustine,Private School,0,0,1,1
Henry,St Augustine,Preschool,No Cases Reported,No Cases Reported,No Cases Reported,No Cases Reported
Henry,St John Lutheran,Private School,2,3,0,0
Henry,St John Lutheran,Preschool,No Cases Reported,No Cases Reported,No Cases Reported,No Cases Reported
Henry,St Paul Lutheran,Private School,1,6,0,1
Henry,St Paul Lutheran,Preschool,No Cases Reported,No Cases Reported,No Cases Reported,No Cases Reported
Henry,St Paul Lutheran,Before and After School Programs,No Cases Reported,No Cases Reported,No Cases Reported,No Cases Reported
Highland,Bright Local,Public District,1,12,0,3
Highland,Fairfield Local,Public District,1,22,1,12
Highland,Greenfield Exempted Village,Public District,14,54,2,33
Highland,Highland County Board of DD,County Board of Developmental Disabilities,No Cases Reported,No Cases Reported,No Cases Reported,No Cases Reported
Highland,Hillsboro Christian Academy,Private School,2,3,0,7
Highland,Hillsboro Christian Academy,Preschool,No Cases Reported,1,No Cases Reported,4
Highland,Hillsboro City,Public District,10,58,1,44
Highland,Lynchburg-Clay Local,Public District,3,25,3,17
Highland,St Mary Catholic,Private School,0,0,0,0
Highland,St Mary Catholic,Preschool,No Cases Reported,No Cases Reported,No Cases Reported,No Cases Reported
Highland,Stonewall Academy,Private School,No Cases Reported,No Cases Reported,No Cases Reported,No Cases Reported
Hocking,Hocking County Board of DD,County Board of Developmental Disabilities,No Cases Reported,No Cases Reported,No Cases Reported,No Cases Reported
Hocking,Logan Christian School,Private School,No Cases Reported,2,No Cases Reported,0
Hocking,Logan Church Of The Nazarene,Preschool,No Cases Reported,1,No Cases Reported,0
Hocking,Logan-Hocking Local,Public District,2,21,2,60
Hocking,St John,Private School,No Cases Reported,0,No Cases Reported,0
Hocking,St John,Preschool,No Cases Reported,0,No Cases Reported,0
Holmes,Apple Hill Christian School,Private School,No Cases Reported,No Cases Reported,No Cases Reported,No Cases Reported
Holmes,East Holmes Local ,Public District,3,18,1,25
Holmes,Gospel Haven Academy,Private School,0,0,0,2
Holmes,Holmes County Board of DD,County Board of Developmental Disabilities,0,0,0,5
Holmes,West Holmes Local,Public District,7,27,2,20
Huron,Bellevue City,Public District,1,60,0,21
Huron,Celeryville Christian,Private School,0,1,0,1
Huron,Celeryville Christian,Preschool,No Cases Reported,No Cases Reported,No Cases Reported,No Cases Reported
Huron,Huron County Board of DD,County Board of Developmental Disabilities,No Cases Reported,No Cases Reported,No Cases Reported,No Cases Reported
Huron,Immaculate Conception,Private School,0,0,0,1
Huron,Immaculate Conception,Preschool,No Cases Reported,No Cases Reported,No Cases Reported,No Cases Reported
Huron,Kopatec Christian Academy,Private School,No Cases Reported,No Cases Reported,No Cases Reported,No Cases Reported
Huron,Monroeville Local,Public District,1,7,0,10
Huron,New London Local,Public District,0,6,0,3
Huron,Norwalk Catholic Early Childhood Center,Preschool,No Cases Reported,No Cases Reported,No Cases Reported,No Cases Reported
Huron,Norwalk Catholic Early Childhood Center,Before and After School Programs,No Cases Reported,No Cases Reported,No Cases Reported,No Cases Reported
Huron,Norwalk Catholic School,Private School,0,20,0,16
Huron,Norwalk City,Public District,2,29,0,23
Huron,Providence Academy,Private School,No Cases Reported,No Cases Reported,No Cases Reported,No Cases Reported
Huron,Sellers Academy,Private School,No Cases Reported,No Cases Reported,No Cases Reported,No Cases Reported
Huron,South Central Local,Public District,0,10,0,8
Huron,St Francis Xavier,Private School,0,0,0,2
Huron,St Joseph,Private School,1,1,0,0
Huron,St Joseph,Preschool,No Cases Reported,No Cases Reported,No Cases Reported,No Cases Reported
Huron,Western Reserve Local,Public District,1,17,1,10
Huron,Willard City,Public District,0,8,0,32
Jackson,Christian Life Academy,Private School,No Cases Reported,0,No Cases Reported,1
Jackson,Christian Life Academy,Preschool,No Cases Reported,0,No Cases Reported,0
Jackson,East Tenth Academy,Private School,No Cases Reported,0,No Cases Reported,0
Jackson,Jackson City,Public District,No Cases Reported,82,No Cases Reported,55
Jackson,Jackson County Board of DD,County Board of Developmental Disabilities,No Cases Reported,0,No Cases Reported,6
Jackson,Oak Hill Union Local,Public District,No Cases Reported,24,No Cases Reported,15
Jackson,Sts Peter And Paul,Private School,No Cases Reported,0,No Cases Reported,0
Jackson,Sts Peter And Paul,Preschool,No Cases Reported,1,No Cases Reported,0
Jackson,Wellston City ,Public District,No Cases Reported,26,No Cases Reported,14
Jefferson,Ave Maria School,Private School,0,0,0,0
Jefferson,Bishop John King Mussio Central Elementary - Rosemont Campus,Private School,0,8,0,10
Jefferson,Bishop John King Mussio Central Elementary - Rosemont Campus,Preschool,0,0,0,0
Jefferson,Bishop John King Mussio Central Junior High School,Private School,0,5,0,0
Jefferson,Buckeye Local ,Public District,1,24,2,37
Jefferson,Catholic Central,Private School,0,20,0,6
Jefferson,Edison Local,Public District,1,34,0,20
Jefferson,Hatcher's Academy,Private School,0,0,0,0
Jefferson,Indian Creek Local,Public District,0,18,1,26
Jefferson,Jefferson County,Joint Vocational School District,0,11,0,2
Jefferson,Jefferson County Board of DD,County Board of Developmental Disabilities,0,4,0,13
Jefferson,Jefferson County Christian,Private School,0,4,0,9
Jefferson,Jefferson County Christian,Preschool,0,0,0,0
Jefferson,Jefferson County ESC,Educational Service Center,0,0,0,0
Jefferson,Regina Angelorum Academy,Private School,0,0,0,0
Jefferson,Steubenville City,Public District,0,32,3,40
Jefferson,Toronto City,Public District,2,15,0,12
Portage,Kent City,Public District,14,62,5,36
Portage,Maxwell Academy,Private School,No Cases Reported,No Cases Reported,No Cases Reported,No Cases Reported
Portage,St Patrick,Private School,0,2,0,2
Hancock,Building On the Rock Academy,Private School,No Cases Reported,No Cases Reported,No Cases Reported,No Cases Reported
Hardin,Ada Exempted Village,Public District,0,34,0,23
Hardin,Bethel Christian School,Private School,0,0,0,0
Hardin,Hardin Community School,Community School,0,1,0,1
Hardin,Hardin County Board of DD,County Board of Developmental Disabilities,0,0,1,1
Hardin,Hardin Northern Local,Public District,1,4,0,6
Hardin,Kenton City,Public District,5,22,1,31
Hardin,Manthano Academy,Private School,0,0,0,0
Hardin,Montford Academy,Private School,0,0,0,1
Hardin,Moore Manor Academy,Private School,0,0,0,0
Hardin,Ridgemont Local,Public District,0,15,1,7
Hardin,Upper Scioto Valley Local,Public District,0,11,0,11
Knox,Abbott Academy,Private School,No Cases Reported,No Cases Reported,No Cases Reported,No Cases Reported
Knox,Centerburg Local,Public District,No Cases Reported,No Cases Reported,No Cases Reported,No Cases Reported
Knox,Christian Star Academy,Private School,No Cases Reported,No Cases Reported,No Cases Reported,No Cases Reported
Knox,Covenant Christian Academy,Private School,No Cases Reported,No Cases Reported,No Cases Reported,No Cases Reported
Knox,Covenant Ridge Academy,Private School,No Cases Reported,No Cases Reported,No Cases Reported,No Cases Reported
Knox,Danville Local ,Public District,No Cases Reported,No Cases Reported,No Cases Reported,No Cases Reported
Knox,East Knox Local,Public District,No Cases Reported,No Cases Reported,No Cases Reported,No Cases Reported
Knox,Fisherman's Peace,Private School,No Cases Reported,No Cases Reported,No Cases Reported,No Cases Reported
Knox,Fredericktown Local,Public District,3,0,3,0
Knox,Grace Academy,Private School,No Cases Reported,No Cases Reported,No Cases Reported,No Cases Reported
Knox,Hajjar Academy,Private School,No Cases Reported,No Cases Reported,No Cases Reported,No Cases Reported
Knox,Herrnhut Christian School,Private School,No Cases Reported,No Cases Reported,No Cases Reported,No Cases Reported
Knox,Knox County Board of DD,County Board of Developmental Disabilities,No Cases Reported,No Cases Reported,No Cases Reported,No Cases Reported
Knox,Knox County ESC,Educational Service Center,No Cases Reported,No Cases Reported,No Cases Reported,No Cases Reported
Knox,Knox County JVSD,Joint Vocational School District,1,0,1,0
Knox,Lauth Haus School,Private School,No Cases Reported,No Cases Reported,No Cases Reported,No Cases Reported
Knox,Mount Pleasant School,Private School,No Cases Reported,No Cases Reported,No Cases Reported,No Cases Reported
Knox,Mount Vernon City,Public District,5,0,1,0
Knox,Mount Vernon Seventh-Day Adven,Private School,No Cases Reported,No Cases Reported,No Cases Reported,No Cases Reported
Knox,Mt Vernon Developmental Center,County Board of Developmental Disabilities,No Cases Reported,No Cases Reported,No Cases Reported,No Cases Reported
Knox,Mulberry Academy,Private School,No Cases Reported,No Cases Reported,No Cases Reported,No Cases Reported
Knox,Northumbria Community Christian School,Private School,No Cases Reported,No Cases Reported,No Cases Reported,No Cases Reported
Knox,Read Academy,Private School,No Cases Reported,No Cases Reported,No Cases Reported,No Cases Reported
Knox,St Vincent De Paul,Private School,No Cases Reported,No Cases Reported,No Cases Reported,No Cases Reported
Knox,St Vincent De Paul,Preschool,No Cases Reported,No Cases Reported,No Cases Reported,No Cases Reported
Knox,St Vincent De Paul,Before and After School Programs,No Cases Reported,No Cases Reported,No Cases Reported,No Cases Reported
Knox,Temple Christian Academy,Private School,No Cases Reported,No Cases Reported,No Cases Reported,No Cases Reported
Knox,The King's Kids Christian School,Private School,No Cases Reported,No Cases Reported,No Cases Reported,No Cases Reported
Lake,All Saints Of St John Vianney,Private School,No Cases Reported,2,No Cases Reported,4
Lake,All Saints Of St John Vianney,Preschool,No Cases Reported,0,No Cases Reported,0
Lake,Andrews Osborne Academy ,Private School,2,20,1,8
Lake,Andrews Osborne Academy,Preschool,0,0,0,1
Lake,Auburn,Joint Vocational School District,3,40,0,4
Lake,Cornerstone Christian Academy,Private School,No Cases Reported,17,No Cases Reported,7
Lake,Educational Service Center of the Western Reserve,Educational Service Center,No Cases Reported,0,No Cases Reported,4
Lake,Fairport Harbor Exempted Village,Public District,No Cases Reported,0,No Cases Reported,2
Lake,Hershey Montessori,Private School,0,0,0,1
Lake,Hershey Montessori,Preschool,0,0,0,2
Lake,iSTEM Geauga Early College High School,Public District,No Cases Reported,2,No Cases Reported,0
Lake,Kirtland Local,Public District,18,24,5,11
Lake,Lake Catholic,Private School,3,8,0,9
Lake,Lake County Board of DD,County Board of Developmental Disabilities,No Cases Reported,No Cases Reported,No Cases Reported,No Cases Reported
Lake,Madison Local ,Public District,5,28,1,11
Lake,Mater Dei Academy,Private School,No Cases Reported,1,No Cases Reported,1
Lake,Mater Dei Academy,Preschool,No Cases Reported,0,No Cases Reported,0
Lake,Mentor Christian School,Private School,0,5,0,1
Lake,Mentor Exempted Village,Public District,4,75,1,61
Lake,New Life Christian Academy,Private School,No Cases Reported,No Cases Reported,No Cases Reported,No Cases Reported
Lake,Our Shepherd Evangel Lutheran,Private School,1,6,0,0
Lake,Painesville City Local,Public District,2,14,3,28
Lake,Perry Local,Public District,4,34,0,19
Lake,Riverside Local,Public District,10,63,4,45
Lake,St Gabriel,Private School,No Cases Reported,3,No Cases Reported,2
Lake,St Gabriel,Preschool,No Cases Reported,0,No Cases Reported,1
Lake,St Mary Of The Assumption,Private School,No Cases Reported,0,No Cases Reported,1
Lake,St Mary Of The Assumption,Preschool,No Cases Reported,0,No Cases Reported,0
Lake,St Mary Of The Assumption,Before and After School Programs,No Cases Reported,0,No Cases Reported,0
Lake,Summit Academy Community School - Painesville,Community School,0,0,0,0
Lake,Telshe,Private School,No Cases Reported,No Cases Reported,No Cases Reported,No Cases Reported
Lake,Wickliffe City,Public District,No Cases Reported,11,No Cases Reported,7
Lake,Willoughby Montessori Dayschl,Private School,1,1,0,0
Lake,Willoughby-Eastlake City,Public District,No Cases Reported,No Cases Reported,No Cases Reported,No Cases Reported
Lawrence,Ashley's Adventist Academy,Private School,No Cases Reported,No Cases Reported,No Cases Reported,No Cases Reported
Lawrence,Chesapeake Union Exempted Village,Public District,0,14,0,8
Lawrence,Dawson-Bryant Local,Public District,11,41,8,24
Lawrence,Fairland Local ,Public District,0,22,0,4
Lawrence,Ironton City School District,Public District,1,42,2,21
Lawrence,Lawrence County,Joint Vocational School District,0,1,0,0
Lawrence,Lawrence County Board of DD,County Board of Developmental Disabilities,0,1,0,1
Lawrence,Lawrence County ESC,Educational Service Center,0,0,0,0
Lawrence,Rock Hill Local,Public District,0,5,0,0
Lawrence,South Point Local,Public District,1,56,0,21
Lawrence,St Joseph Central,Private School,0,12,0,4
Lawrence,St Lawrence,Private School,0,3,0,2
Lawrence,St Lawrence,Preschool,0,0,0,0
Lawrence,Sugar Creek Christian Academy,Private School,0,5,0,1
Lawrence,Symmes Valley Local,Public District,2,13,0,7
Lawrence,Tri-State STEM+M Early College High School,Public District,0,0,0,0
Lawrence,Vissing Institute for Higher Learning,Private School,No Cases Reported,No Cases Reported,No Cases Reported,No Cases Reported
Delaware,Heritage Oaks Academy,Private School,No Cases Reported,No Cases Reported,No Cases Reported,No Cases Reported
Knox,King's Dominion Academy,Private School,No Cases Reported,No Cases Reported,No Cases Reported,No Cases Reported
Licking,Arete Academy,Private School,No Cases Reported,No Cases Reported,No Cases Reported,No Cases Reported
Licking,Blessed Sacrament,Private School,1,1,0,0
Licking,Blessed Sacrament,Preschool,No Cases Reported,No Cases Reported,No Cases Reported,No Cases Reported
Licking,Bush World Changers Academy,Private School,No Cases Reported,No Cases Reported,No Cases Reported,No Cases Reported
Licking,Career and Technology Educational Centers,Joint Vocational School District,No Cases Reported,13,No Cases Reported,1
Licking,Christifideles School,Private School,No Cases Reported,No Cases Reported,No Cases Reported,No Cases Reported
Licking,Eagle Academy,Private School,No Cases Reported,No Cases Reported,No Cases Reported,No Cases Reported
Licking,Eagle Wings Academy,Private School,1,2,0,3
Licking,Excellence in Learning Community School,Private School,No Cases Reported,No Cases Reported,No Cases Reported,No Cases Reported
Licking,Faith Christian Academy,Private School,No Cases Reported,No Cases Reported,No Cases Reported,No Cases Reported
Licking,Full Life Academy,Private School,No Cases Reported,No Cases Reported,No Cases Reported,No Cases Reported
Licking,Granville Christian Academy,Private School,5,6,0,0
Licking,Granville Exempted Village,Public District,3,33,0,2
Licking,Heath City,Public District,5,54,0,9
Licking,Holmes Preparatory School,Private School,No Cases Reported,No Cases Reported,No Cases Reported,No Cases Reported
Licking,Hope Christian Academy,Private School,No Cases Reported,No Cases Reported,No Cases Reported,No Cases Reported
Licking,Johnstown-Monroe Local,Public District,3,34,0,4
Licking,Lakewood Local,Public District,1,20,0,2
Licking,Legacy Academy,Private School,No Cases Reported,No Cases Reported,No Cases Reported,No Cases Reported
Licking,Liberty Christian Academy - East Campus,Private School,No Cases Reported,9,No Cases Reported,0
Licking,Liberty Christian Academy - East Campus,Preschool,No Cases Reported,No Cases Reported,No Cases Reported,No Cases Reported
Licking,Liberty Christian Academy Preschool,Preschool,No Cases Reported,No Cases Reported,No Cases Reported,No Cases Reported
Licking,Liberty Preparatory Academy,Private School,No Cases Reported,No Cases Reported,No Cases Reported,No Cases Reported
Licking,Licking County Board of DD,County Board of Developmental Disabilities,No Cases Reported,No Cases Reported,No Cases Reported,No Cases Reported
Licking,Licking County Christian Academy,Private School,No Cases Reported,1,No Cases Reported,0
Licking,Licking County ESC,Educational Service Center,No Cases Reported,2,No Cases Reported,9
Licking,Licking Heights Local,Public District,No Cases Reported,20,No Cases Reported,10
Licking,Licking Valley Local,Public District,1,13,0,12
Licking,Lifetime Achievement Christian Academy,Private School,No Cases Reported,No Cases Reported,No Cases Reported,No Cases Reported
Licking,Mighty Oaks Academy,Private School,No Cases Reported,No Cases Reported,No Cases Reported,No Cases Reported
Licking,Montessori Community,Private School,No Cases Reported,No Cases Reported,No Cases Reported,No Cases Reported
Licking,My Place to Be,Private School,No Cases Reported,No Cases Reported,No Cases Reported,No Cases Reported
Licking,New Covenant Christian Academy,Private School,No Cases Reported,No Cases Reported,No Cases Reported,No Cases Reported
Licking,Newark Catholic,Private School,1,8,0,0
Licking,Newark City,Public District,7,87,2,20
Licking,North Fork Local,Public District,1,17,1,6
Licking,Northridge Local,Public District,No Cases Reported,10,No Cases Reported,3
Licking,Par Excellence Academy,Community School,No Cases Reported,2,No Cases Reported,0
Licking,Provision Christian Academy,Private School,No Cases Reported,No Cases Reported,No Cases Reported,No Cases Reported
Licking,Set Apart Academy,Private School,No Cases Reported,No Cases Reported,No Cases Reported,No Cases Reported
Licking,Southwest Licking Local,Public District,3,34,0,5
Licking,St Francis De Sales,Private School,No Cases Reported,2,No Cases Reported,1
Licking,St Francis De Sales,Preschool,No Cases Reported,No Cases Reported,No Cases Reported,No Cases Reported
Licking,St Joseph Preparatory School,Private School,No Cases Reported,No Cases Reported,No Cases Reported,No Cases Reported
Licking,The Learning Spectrum  LTD - Johnstown,Private School,No Cases Reported,No Cases Reported,No Cases Reported,No Cases Reported
Licking,The Learning Spectrum LTD - Johnstown,Preschool,No Cases Reported,No Cases Reported,No Cases Reported,No Cases Reported
Licking,Theosis Classical Christian Academy,Private School,No Cases Reported,No Cases Reported,No Cases Reported,No Cases Reported
Licking,Veritas et Libertas Classical Academy,Private School,No Cases Reported,No Cases Reported,No Cases Reported,No Cases Reported
Licking,Welsh Hills School,Private School,No Cases Reported,No Cases Reported,No Cases Reported,No Cases Reported
Licking,Welsh Hills School,Preschool,No Cases Reported,No Cases Reported,No Cases Reported,No Cases Reported
Licking,Welsh Hills School,Before and After School Programs,No Cases Reported,No Cases Reported,No Cases Reported,No Cases Reported
Logan,Bellefontaine City ,Public District,8,59,4,29
Logan,Benjamin Logan Local,Public District,3,52,1,19
Logan,Fearon Academy,Private School,No Cases Reported,No Cases Reported,No Cases Reported,No Cases Reported
Logan,Indian Lake Local,Public District,0,21,0,20
Logan,Logan County Board of DD,County Board of Developmental Disabilities,0,2,0,4
Logan,Midwest Regional ESC,Educational Service Center,0,3,0,10
Logan,Nitzsche Academy,Private School,No Cases Reported,No Cases Reported,No Cases Reported,No Cases Reported
Logan,Ohio Hi-Point Career Center,Joint Vocational School District,0,16,0,7
Logan,Richland Christian Academy,Private School,No Cases Reported,No Cases Reported,No Cases Reported,No Cases Reported
Logan,Riverside Local,Public District,0,11,3,13
Lorain,Amherst Exempted Village,Public District,No Cases Reported,110,No Cases Reported,31
Lorain,As We Walk Academy,Private School,No Cases Reported,0,No Cases Reported,0
Lorain,Avon Lake City,Public District,No Cases Reported,98,No Cases Reported,28
Lorain,Avon Local,Public District,No Cases Reported,46,No Cases Reported,17
Lorain,Avon Montessori Academy,Private School,No Cases Reported,0,No Cases Reported,0
Lorain,Black River Career Prep High School,Community School,No Cases Reported,0,No Cases Reported,0
Lorain,Blumfeldt Academy,Private School,No Cases Reported,0,No Cases Reported,0
Lorain,Christian Community School,Private School,No Cases Reported,0,No Cases Reported,4
Lorain,Christian Life Academy,Private School,No Cases Reported,0,No Cases Reported,0
